2/15/2011 10:22:25 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/region_manager.aspx
2/15/2011 10:22:27 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:22:28 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:22:34 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/admin_manager.aspx
2/15/2011 10:22:35 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:38 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:40 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:44 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/PhanQuyen.aspx
2/15/2011 10:22:46 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/region_manager.aspx
2/15/2011 10:22:47 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:22:49 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
2/15/2011 10:22:50 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/15/2011 10:22:51 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/15/2011 10:22:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transactionCo_manager.aspx
2/15/2011 10:22:55 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
2/15/2011 10:23:11 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/danhmuc_manager.aspx
2/15/2011 10:23:11 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:23:12 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:23:12 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_view.aspx
2/15/2011 10:23:13 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/transaction_manager.aspx
2/15/2011 10:23:14 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:23:15 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:25:41 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:26:40 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:29:56 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:29:58 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:29:58 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/Error.aspx
2/15/2011 10:29:59 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:30:05 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:30:05 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/Error.aspx
2/15/2011 10:30:06 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:45:27 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:45:29 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:45:29 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/default.aspx
2/15/2011 10:45:30 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:45:31 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:45:34 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:45:34 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
2/15/2011 10:45:36 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:46:27 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:46:28 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:46:28 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
2/15/2011 10:46:30 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:46:31 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:47:02 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:47:02 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:47:03 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/DangNhap.aspx
2/15/2011 10:47:03 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/default.aspx
2/15/2011 10:47:05 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa.aspx
2/15/2011 10:47:07 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:47:08 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/dongbohoa_KiemDuyet.aspx
2/15/2011 10:48:01 AM | 127.0.0.1 | localhost | http://localhost:20761/IBDWeb/admin/MessengerRight.aspx
